Название,,,Stage,,Prod,
,Статус,Комментарий ,Статус,TODO № / Комментарий,Статус,TODO № / Комментарий
*Функциональное тестирование,,,,,,
Установка,,,,,,
Удаление,,,,,,
Накатка версий,,,,,,
Запуск приложения,,,,,,
Работоспособность основного функционала приложения,,,,,,
Регистрация по Email,,,,,,
Регистрация по номеру телефона,,,,,,
Регистрация через соц. сети,,,,,,
Авторизация по Email,,,,,,
Авторизация по номеру телефона,,,,,,
Авторизация через соц.сети,,,,,,
Проверка оплаты,,,,,,
Тестирование фильтров,,,,,,
Бонусы,,,,,,
Корректное отображение ошибок,,,,,,
Работа с файлами (отправка/получение/просмотр),,,,,,
"Тестирование заглушек (не соединения с интернетом, нет товаров)",,,,,,
Скролл/свайп элементов,,,,,,
Тестирование PUSH уведомлений,,,,,,
Сворачивание/разворачивание приложения,,,,,,
Тип подключений (сотовая связь),,,,,,
Тип подключений (Wi-Fi),,,,,,
Ориентация экрана (альбомная/портретная),,,,,,
Темная/светлая темы,,,,,,
Реклама в приложении,,,,,,
Шаринг контента в соц. сети,,,,,,
Работа приложения в фоне,,,,,,
Пагинация страниц,,,,,,
Политика конфиденциальности и прочие ссылки на документы,,,,,,
*Тестирование совместимости,,,,,,
Корректное отображение гео,,,,,,
Информации об операциях (чеки и т.д.),,,,,,
"Различные способы оплаты (Google Pay, Apple Pay)",,,,,,
"Тестирование датчиков (освещенности, температуры устройства, гироскоп и т.д.)",,,,,,
Тестирование прерываний (входящий звонок/смс/push/будильник/режим «Не беспокоить» и т.д.),,,,,,
Подключение внешних устройств (карта памяти/наушники и т.д.),,,,,,
*Тестирование безопасности,,,,,,
Тестирование разрешений (доступ к камере/микрофону/галерее/и т.д.),,,,,,
Данные пользователя (пароли) не передаются в открытом виде,,,,,,
"В полях, с вводом пароля и подтверждением пароля, данные скрываются астерисками",,,,,,
*Тестирование локализации и глобализации,,,,,,
Все элементы в приложении переведены на соответствующий язык,,,,,,
Тексты зашиты внутри приложения и пользователь в настройках приложения может выставить необходимый язык,,,,,,
Тексты зависят от языка в системных настройках,,,,,,
Тексты приходят с сервера,,,,,,
Корректное отображение форматов дат (ГОД — МЕСЯЦ — ДЕНЬ или ДЕНЬ — МЕСЯЦ — ГОД.),,,,,,
Корректное отображение времени в зависимости от часового пояса,,,,,,
*Тестирование Юзабилити,,,,,,
Корректное отображение элементов на устройствах с различными разрешениями экранов,,,,,,
Все шрифты соответствуют требованиям,,,,,,
Все тексты правильно выровнены,,,,,,
"Все сообщения об ошибках верные, без орфографических и грамматических ошибок",,,,,,
Корректные заголовки экранов,,,,,,
В поисковых строках присутствуют плейсхолдеры,,,,,,
Неактивные элементы отображаются серым,,,,,,
Ссылки на документы ведут на соответствующий раздел на сайте,,,,,,
Анимация между переходами,,,,,,
Корректный возврат на предыдущий экран,,,,,,
Поддерживаются основные жесты при работе с сенсорными экранами (swipe back и т.д.),,,,,,
Пиксель-перфект,,,,,,
*Стресс тестирование,,,,,,
Высокая загрузка центрального процессора,,,,,,
Нехватка памяти,,,,,,
Загрузка батареи,,,,,,
Отказы,,,,,,
Низкая пропускная способность сети,,,,,,
Большое количество взаимодействий пользователя с приложением (имитация реальных условий состояния сети),,,,,,
